domain,available,price
EduPath,False,N/A
LearnCore,False,N/A
SkillNav,False,N/A
MindGrow,False,N/A
GuideKey,False,N/A
PathSpark,False,N/A
QuestEd,False,N/A
SkillQuest,False,N/A
IntelPath,False,N/A
EduForge,False,N/A
EduPathway,False,N/A
LearnQuest,False,N/A
SkillRoute,False,N/A
GuideBright,False,N/A
PathSpark,False,N/A
EduVenture,False,N/A
MindPilot,False,N/A
QuestCore,False,N/A
GrowPath,False,N/A
IntelTrack,False,N/A
EduPath,False,N/A
SkillNav,False,N/A
LearnWay,False,N/A
QuestCore,False,N/A
GrowTrack,False,N/A
IntelQuest,False,N/A
PathSpark,False,N/A
Guidu,False,N/A
UniPlorer,False,N/A
EduVoyage,False,N/A
EduPath,False,N/A
LearnQuest,False,N/A
SkillMap,False,N/A
Guiduca,True,10690000
PathWise,False,N/A
EduForge,False,N/A
Questify,False,N/A
SkillVoyage,False,N/A
BrightPath,False,N/A
Learnova,False,N/A
Eduventur,False,N/A
LearnPath,False,N/A
SkillSpur,False,N/A
QuestEd,False,N/A
PathWise,False,N/A
GrowGuided,True,10690000
Intellecto,False,N/A
Navigrow,False,N/A
ForesightEd,False,N/A
Capablearn,True,10690000
EduPathway,False,N/A
LearnSpire,False,N/A
SkillPilot,False,N/A
TrekAcademy,False,N/A
QuestLearn,False,N/A
Guidara,False,N/A
MindVoyage,False,N/A
IntelliRoute,False,N/A
StudySpark,False,N/A
KnackForge,False,N/A
EduPathway,False,N/A
SkillFront,False,N/A
LearnQuest,False,N/A
Guideport,False,N/A
PathWise,False,N/A
StudyNest,False,N/A
Intellicore,False,N/A
EduNexus,False,N/A
SkillBridge,False,N/A
QuestEd,False,N/A
EduPath,False,N/A
LearnQuest,False,N/A
SkillNav,False,N/A
EduVoyage,False,N/A
PathForge,False,N/A
QuestBridge,False,N/A
MindRoute,False,N/A
SkillPilot,False,N/A
EduForge,False,N/A
LearnHub,False,N/A
Eduvanta,False,N/A
LearnPath,False,N/A
SkillGate,False,N/A
QuestCore,False,N/A
EduForge,False,N/A
PathWise,False,N/A
BrainLead,False,N/A
InsightU,False,N/A
GrowMind,False,N/A
UniTrail,False,N/A
EduPath,False,N/A
SkillNav,False,N/A
LearnWay,False,N/A
QuestEd,False,N/A
Guidu,False,N/A
BrainRoute,False,N/A
SkillTrack,False,N/A
PathSpark,False,N/A
CogniGuide,False,N/A
Mentorly,False,N/A
EduPath,False,N/A
LearnVoyage,False,N/A
SkillNav,False,N/A
BrainRoute,False,N/A
GrowQuest,False,N/A
EduNexus,False,N/A
QuestEd,False,N/A
PathSpark,False,N/A
LearnTrail,False,N/A
SkillForge,False,N/A
EduPathway,False,N/A
SkillRoute,False,N/A
LearnGuide,False,N/A
PathForge,False,N/A
QuestEd,False,N/A
MindPilot,False,N/A
EduVoyage,False,N/A
SkillSpark,False,N/A
EdNavigator,False,N/A
PathShaper,False,N/A
EduPather,True,10690000
Learnique,False,N/A
Skilliant,False,N/A
Guiduca,True,10690000
Questemy,True,10690000
EdVoyage,False,N/A
Pathloom,False,N/A
Brainify,False,N/A
Edventur,True,10690000
SkillPath,False,N/A
EduPather,True,10690000
LearnGuide,False,N/A
StudyLead,False,N/A
PathMentor,False,N/A
SkillSpark,False,N/A
TrailEdu,True,10690000
GuideLynk,False,N/A
Edventur,True,10690000
SkillPath,False,N/A
UniPlorer,False,N/A
EduPath,False,N/A
Learnique,False,N/A
Guidely,False,N/A
SkillNav,False,N/A
PathSnip,False,N/A
GrowPath,False,N/A
CatchOn,False,N/A
Unruly,False,N/A
BrainKey,False,N/A
TorchEd,False,N/A
EduPath,False,N/A
LearnQuest,False,N/A
SkillSeed,False,N/A
EduVoyage,False,N/A
QuestEd,False,N/A
GrowPath,False,N/A
GuidedLearn,False,N/A
PathSpark,False,N/A
Unifinder,False,N/A
SkillGuide,False,N/A
EduPathway,False,N/A
LearnQuest,False,N/A
SkillRoute,False,N/A
GuiduLearn,True,10690000
PathMentor,False,N/A
ExploreEd,False,N/A
GrowPath,False,N/A
UniGuide,False,N/A
SkillSpark,False,N/A
EduPioneer,False,N/A
